,area,title,id,description,requirements
119,מרכז,JAVA DEVELOPER,377179,"חברת הייטק, המפתחת פלטפורמה לניהול משחקי אונליין GAMING ו- GAMBLING , מעוניינת לגייסJAVA DEVELOPER. תפקיד שהוא SERVER במלואו.  ","5+ ש""נ בפיתוח JAVA - חובהניסיון ב- LINUX ניסיון ב- SPRING- יתרוןניסיון ב- J2EE- יתרון** שימו לב,FS מוזמנים.ות להגיש מועמדות **"
120,שפלה,SW positions,377855,לחברה גדולה הממוקמת ברחובות דרוש/ה SW positionsפיתוח  JAVA ו C# במערכות רב תחומיות, תואר ראשון במדעי המחשב / הנדסת מחשבים - חובה • ניסיון של 5+ שנים בפיתוח # Java / C • ניסיון במערכת רב תחומית
121,מרכז,Senior Software Engineer,377851,לחברה הממוקמת בהרצליה דרוש/ה Senior Software Engineerפיתוח תוכנה  בשפת C בסביבת  LINUX ,"תואר ראשון בהנדסת חשמל, מדעי המחשב או שווה ערך - חובה !!ניסיון של 3-6 שנות ניסיון בפיתוח תוכנה ב- C ו / או C ++ - חובה!! ניסיון מצוין בלינוקס - חובה !! יתרון לניסיון בפרוטוקולי שכבת יישומים (MQTT, HTTP) יתרון לניסיון בפרוטוקולי תקשורת כמו Wi-Fi, ZigBee"
122,מרכז,MA Team Leader/Engineering Team Leader,377751,"לחברת הייטק מצליחה מאד, מבוססת וחזקה, דרוש/ה MA Team Leader, לניהול Data Analyst ו  FS DEVELOPER, האחראיים על פיתוח מערכות פנימיות לייעול תהליכים בחברה. פיתוח במגוון טכנולוגיות Javascript/Typescript, Node.js, C#, Python, Scala.","5 ש""נ ומעלה כמפתח Full Stack (ניסיון ב- C-SHARP/NODEJS/PYTHON/SCALA) ניסיון עם JS\Type Script יתרון: ניסיון עם Big Dataניסיון ניהולי/הובלה טכנולוגית"
123,שפלה,מהנדס/ת פיתוח תוכנה C#,377823,"חברת הייטק גדולה ומצליחה, מובילת פיתוח טכנולוגיות תעופה וחלל בתחום הצבאי והאזרחי כאחד ולה לקוחות ברחבי העולם, מעוניינת לגייס מהנדס/ת פיתוח תוכנה C#.","תואר ראשון במדעי המחשב/הנדסת תוכנה/ תעשייה וניהול עם התמחות במערכות מידע5 שנות ניסיון בפיתוח בטכנולוגיות ASP.NET, C#,WEB SERVICES,ANGULAR, XML, HTML, JAVA SCRIPTSעבודה מול בסיסי נתונים Oracle, SQL SERVER. ידע ב SQL היכרות והבנה של תהליכים ארגונייםכתיבת דוחות ב Reporting Services"
124,שרון,Kernel Engineer,377814,לחברת סטארטאפ מצליחה המפתחת מוצרים בתחום ה Data Center בעולמות ה Storage  ו הCloud ,"תואר ראשון במדעי המחשב/הנדסת תוכנה / הנדסת חשמל או דומה ממוסד אקדמי מוכר או יוצאי יחידות טכנולוגיות - חובהלפחות 2 שנות בפיתוח Linux Kernel -חובהנסיון ב C\C++ נסיון ב Storage , Kubernetes,OpenStack-יתרוןנסיון ב Redis, MongoDB, Couchbase, Cassandra- יתרון  נסיון ב Networking- יתרון"
125,מרכז,Senior software engineer,377807,"לחברת תקשורת גלובאלית הנמצאת בת""א רמת החייל דרוש/ה Senior software engineer","ניסיון של לפחות 5 שנות ניסיון ומעלה בפיתוח JAVA  בסביבת production  - חובה ניסיון עם Python - יתרון משמעותי (עיקר הפיתוח נעשה ב- JAVA, ומעט מאוד ב- PYTHON לתחזוק המערכת הקודמת). הבנה עמוקה בעקרונות ארכיטקטורה של מערכת תואר אקדמי רלוונטי - יתרון ניסיון עם NoSQL - חובה ( העדפה ל-MongoDB) היכרות עם LINUX ניסיון עם micro-services - יתרון ניסיון עם Docker, CI/CD וכדומה - יתרון ידע ב- networking - יתרון"
126,מרכז,Trading Data Analyst,377803,לחברה מעולה שמגייסת גם בקורונה בתחום הOnline דרוש/ה: Trading Data Analyst,
127,מרכז,Full Stack Engineer,377269,,תואר ראשון ממוסד אקדמי מוכר או יוצאי יחידות טכנולוגיות- חובהלפחות 5 שנות ניסיון בפיתוח תוכנה- חובהלפחות 3 שנות נסיון בפיתוח  Frontend ב Angular2\4 ומעלה - חובהלפחות 1 שנות נסיון בפיתוח Node.JS - חובהנסיון בהובלה טכנולוגית-יתרון משמעותינסיון בארכיטקטורה-יתרון משמעותינסיון ב Cloud- יתרון משמעותינסיון ב CI\CD- יתרוןנסיון ב Linux  
128,שרון,Game server developer,377775,,
129,מרכז,Senior C++ Developer,377756,לחברה בתחום האלגוטריידינג דרוש/ה: Senior C++ Developer,
130,מרכז,QA Automation Team Leader,377752,לחברה פיננסית מובילה דרוש/ה:QA Automation Team Leader,"7 שנות נסיון בעולמות האוטומציה-חובה 3 שנות נסיון בהובלת צוות QA למוצר שהוא : large scale enterprise-grade - חובה נסיון במתודולוגיות  (scrum, CI/CD, TDD) agile-חובה נסיון בהקמת סביבת בדיקות מאפס-חובה Web-חובה"
131,שפלה,Software Engineer - media technology group,377754,"לחברה הממוקמת באייר פורט סיטי, דרוש/ה Software Engineer - media technology groupלתפקיד הכולל פיתוח מוצרים חדשים מבוססי AI.אחריות על תכנון, שינוי והטמעה של תשתיות ומוצרי תוכנה שונים תחת קבוצת טכנולוגיות המדיה.  ","• לפחות 3 שנות ניסיון בפיתוח ניסיון JAVA/PYTHON • ניסיון בארכיטקטורת C / S כולל REST, WebSocket, RPC• ניסיון ב- C \ C ++ - יתרון גדול• ניסיון בפיתוח תחת סביבות לינוקס - יתרון"
132,מרכז,Data Scientist,377733,"לחברה גלובאלית מצליחה בתחום האוטומוטיב ונמצאת בת""א קו רכבת, דרוש/ה Data Scientist",תואר ראשון Bsc בהצטיינות או תואר שני M.Sc/Ph.D במדעי המחשב / או רלוונטי אחר ניסיון עם Pyton ניסיון עם SQL ניסיון חזק עם Machine Learning ניסיון עם GCP - יתרון ניסיון עם בדיקות  A/B  וסימולציות - יתרון
133,מרכז,Full Stack Developer-עבודה מהבית,377716,חברה מובילה ומצליחה בתחום הFINTECH מחפשת Full Stack Developer לעבודה מהבית, 
134,שפלה,Software Team Leader,377712,"לחברה המפתחת מערכות לבדיקה אופטית אוטומטית בתחום מעגלים מודפסים, דרוש/ה Software Team leader להובלת צוות התוכנה של מוצרי הדור הנוכחי והעתיד.","  תואר ראשון בהנדסת תוכנה או תחום המדעים , תואר מתקדם – יתרון. • ניסיון של לפחות 10 שנים כולל 3 שנים כמנהל צוות תוכנה •נסיון בפיתוח ב C++ על Linux -חובה •בנוסף, נסיון וידע במערכות EMB \ Low Level\Firmware- חובה אחד מהם • ניסיון עם ממשקי SW / HW, כבקרי FPGA. • ניסיון בהובלה של מוצר /מערכת לאורך כל השלבים. • ניסיון בפעילות FAB / טכנולוגיית ייצור / תעשיית PCB ומערכת רב תחומית - יתרון."
135,מרכז,"Senior Big Data Developer, Seller Insights",377697,"לחברה המפתחת מנוע חיפוש דרוש/ה: Senior Big Data Developer, Seller Insights",
136,מרכז,Embedded Linux Team Leader,377694,עבור חברה הממוקמת ברמת החייל בתל אביב,"• ניסיון של לפחות 5 שנים כר""צ- חובה !• מומחיות של 10 שנים ומעלה כ- RT / SW Embedded Eng - חובה • ניסיון של 10 שנים ומעלה ב- C / C ++ - חובה• ניסיון של 5 שנים ומעלה בלינוקס - חובה• B.Sc. או תואר שני במדעי המחשב - חובה"
137,מרכז,"Product Designer -UX,UI",377690,"לחברה גלובאלית מהמצליחות בעולם המפתחת מוצרי cloud ונמצאת בת""א דרוש/ה Product Designer -UX,UI","1-3 שנות ניסיון בעיצוב מוצרי WEB  - חובה ! ניסיון בעיצוב מוצרי SaaS  - יתרון ! תואר בעיצוב גרפי (בצלאל, שנקר, HIT) יכולת ליצור תהליך עיצוב שלם user research, sketching concepts, wireframes and prototypes, design implementation, usability testing חיבור חזק לקהילה העיצובית. כזה/כזו שמתעדכן/מתעדכנת ומחפש/ת כל הזמן מידע חדש, מחקרים וכלים חדשים. תיק עבודות מרשים שליטה מלאה ב- adobe suite, sketch, Zeplin  - יתרון"
